value_ms,cdf
1.000000,0.111317
2.000000,0.249319
3.000000,0.476210
4.000000,0.573542
5.000000,0.655093
6.000000,0.703831
7.000000,0.740750
8.000000,0.767194
9.000000,0.791350
10.000000,0.807511
11.000000,0.821351
12.000000,0.831608
13.000000,0.839918
14.000000,0.848121
15.000000,0.857967
16.000000,0.864730
17.000000,0.871178
18.000000,0.875983
19.000000,0.880885
20.000000,0.885248
21.000000,0.888501
22.000000,0.892053
23.000000,0.894043
24.000000,0.895883
25.000000,0.896912
26.000000,0.898544
27.000000,0.900123
28.000000,0.902326
29.000000,0.903425
30.000000,0.904422
31.000000,0.905611
32.000000,0.906540
33.000000,0.907126
34.000000,0.908294
35.000000,0.909089
36.000000,0.909740
37.000000,0.910636
38.000000,0.912364
39.000000,0.912641
40.000000,0.913543
41.000000,0.914839
42.000000,0.916305
43.000000,0.917260
44.000000,0.918321
45.000000,0.919820
46.000000,0.920668
47.000000,0.921676
48.000000,0.922962
49.000000,0.923762
50.000000,0.924450
51.000000,0.924924
52.000000,0.925687
53.000000,0.926775
54.000000,0.927479
55.000000,0.928397
56.000000,0.929015
57.000000,0.930189
58.000000,0.930749
59.000000,0.931191
60.000000,0.931506
61.000000,0.931709
62.000000,0.932077
63.000000,0.932679
64.000000,0.933202
65.000000,0.933682
66.000000,0.934328
67.000000,0.934616
68.000000,0.934824
69.000000,0.935458
70.000000,0.936029
71.000000,0.936445
72.000000,0.936930
73.000000,0.937426
74.000000,0.937869
75.000000,0.938578
76.000000,0.938973
77.000000,0.939570
78.000000,0.939864
79.000000,0.940178
80.000000,0.940776
81.000000,0.941336
82.000000,0.941848
83.000000,0.942371
84.000000,0.942877
85.000000,0.943544
86.000000,0.943933
87.000000,0.944168
88.000000,0.944541
89.000000,0.944600
90.000000,0.944893
91.000000,0.945779
92.000000,0.946349
93.000000,0.946643
94.000000,0.946883
95.000000,0.947373
96.000000,0.947507
97.000000,0.947805
98.000000,0.948200
99.000000,0.948835
100.000000,0.949363
101.000000,0.949987
102.000000,0.950574
103.000000,0.951022
104.000000,0.951486
105.000000,0.951891
106.000000,0.952120
107.000000,0.952339
108.000000,0.952680
109.000000,0.952990
110.000000,0.953246
111.000000,0.953854
112.000000,0.954206
113.000000,0.955075
114.000000,0.955731
115.000000,0.955859
116.000000,0.955961
117.000000,0.956142
118.000000,0.956158
120.000000,0.956510
121.000000,0.956515
122.000000,0.956521
123.000000,0.956531
124.000000,0.956627
125.000000,0.956739
126.000000,0.956862
127.000000,0.957251
128.000000,0.957891
129.000000,0.958291
130.000000,0.958329
131.000000,0.958510
132.000000,0.958595
133.000000,0.958681
134.000000,0.958953
135.000000,0.959065
136.000000,0.959219
137.000000,0.959337
138.000000,0.959395
139.000000,0.959806
140.000000,0.959811
141.000000,0.960131
142.000000,0.960323
143.000000,0.960403
144.000000,0.960510
145.000000,0.960574
146.000000,0.960809
147.000000,0.961054
148.000000,0.961161
149.000000,0.961593
150.000000,0.961913
151.000000,0.962158
152.000000,0.962409
153.000000,0.962548
154.000000,0.962889
155.000000,0.963742
156.000000,0.963817
157.000000,0.964217
158.000000,0.964436
159.000000,0.964740
160.000000,0.964926
161.000000,0.965054
162.000000,0.965145
163.000000,0.965353
164.000000,0.965364
165.000000,0.965646
166.000000,0.965668
167.000000,0.965678
168.000000,0.965780
169.000000,0.965822
170.000000,0.965828
171.000000,0.966004
172.000000,0.966078
173.000000,0.966281
174.000000,0.966430
175.000000,0.966494
176.000000,0.966516
178.000000,0.966724
179.000000,0.967433
180.000000,0.967684
181.000000,0.967817
182.000000,0.967870
183.000000,0.967950
184.000000,0.968132
185.000000,0.968340
186.000000,0.968606
187.000000,0.969316
188.000000,0.969396
189.000000,0.969497
190.000000,0.969684
191.000000,0.970004
192.000000,0.970212
193.000000,0.970372
194.000000,0.970436
195.000000,0.970607
196.000000,0.970713
197.000000,0.970985
198.000000,0.971561
199.000000,0.971689
200.000000,0.971769
201.000000,0.972143
202.000000,0.972393
203.000000,0.972591
204.000000,0.972889
205.000000,0.972953
206.000000,0.973081
207.000000,0.973257
208.000000,0.973689
209.000000,0.973839
210.000000,0.973999
211.000000,0.974041
212.000000,0.974084
213.000000,0.974255
214.000000,0.974271
215.000000,0.974409
216.000000,0.974905
217.000000,0.974991
218.000000,0.975188
219.000000,0.975204
220.000000,0.975700
221.000000,0.975956
222.000000,0.976170
223.000000,0.976340
224.000000,0.976367
225.000000,0.976735
226.000000,0.976927
227.000000,0.976964
228.000000,0.977492
231.000000,0.977562
232.000000,0.977786
233.000000,0.977796
234.000000,0.977839
235.000000,0.977844
236.000000,0.978202
237.000000,0.978250
238.000000,0.978356
239.000000,0.978362
240.000000,0.978538
241.000000,0.979082
242.000000,0.979311
243.000000,0.979519
244.000000,0.979535
245.000000,0.979578
246.000000,0.979594
247.000000,0.979668
248.000000,0.979818
250.000000,0.979823
251.000000,0.979839
252.000000,0.979844
253.000000,0.979914
255.000000,0.979919
256.000000,0.980148
257.000000,0.980356
258.000000,0.980367
259.000000,0.980447
260.000000,0.980490
261.000000,0.980516
262.000000,0.980538
263.000000,0.980618
264.000000,0.980751
265.000000,0.980906
