metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
rts_cts_threshold,65535
qsrc_threshold,1
psrc_threshold,2
enable_ul,1
enable_dl,1
stas_link0_target,30
stas_link1_target,0
flows_considered,122
vo_flows_considered,17
aggregate_throughput_mbps,28.233808
pedca_throughput_mbps,28.233808
edca_throughput_mbps,0.000000
jfi,0.115423
dl_throughput_mbps,253.181936
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,190785
rx_packets,187491
lost_packets,10
vo_tx_packets,16153
vo_rx_packets,15850
vo_lost_packets,0
delay_samples,187491
delay_p50_ms,4.000000
delay_p90_ms,27.000000
delay_p95_ms,102.000000
delay_p99_ms,416.000000
delay_p99_9_ms,618.000000
vo_delay_samples,15850
vo_delay_p50_ms,5.000000
vo_delay_p90_ms,14.000000
vo_delay_p95_ms,16.000000
vo_delay_p99_ms,21.000000
vo_delay_p99_9_ms,24.000000
ul_delay_p50_ms,5.000000
ul_delay_p90_ms,53.000000
ul_delay_p95_ms,113.000000
ul_delay_p99_ms,272.000000
ul_delay_p99_9_ms,490.000000
dl_delay_p50_ms,3.000000
dl_delay_p90_ms,14.000000
dl_delay_p95_ms,89.000000
dl_delay_p99_ms,465.000000
dl_delay_p99_9_ms,641.000000
delay_over_10ms_packets,36090
delay_over_20ms_packets,21515
jitter_samples,187369
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,6.000000
jitter_p99_9_ms,201.000000
vo_jitter_samples,15833
vo_jitter_p50_ms,1.000000
vo_jitter_p90_ms,1.000000
vo_jitter_p95_ms,1.000000
vo_jitter_p99_ms,4.000000
vo_jitter_p99_9_ms,14.000000
ul_jitter_p50_ms,1.000000
ul_jitter_p90_ms,1.000000
ul_jitter_p95_ms,1.000000
ul_jitter_p99_ms,14.000000
ul_jitter_p99_9_ms,202.000000
dl_jitter_p50_ms,1.000000
dl_jitter_p90_ms,1.000000
dl_jitter_p95_ms,1.000000
dl_jitter_p99_ms,4.000000
dl_jitter_p99_9_ms,201.000000
flow_completion_p50_ms,3704.791765
flow_completion_p90_ms,3965.073095
flow_completion_p95_ms,3983.820095
flow_completion_p99_ms,3997.746000
flow_completion_p99_9_ms,3999.473095
vo_flow_completion_p50_ms,3890.178000
vo_flow_completion_p90_ms,3992.794000
vo_flow_completion_p95_ms,3996.394000
vo_flow_completion_p99_ms,3996.394000
vo_flow_completion_p99_9_ms,3996.394000
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,1.000000
vo_retrans_ratio_p90,1.000000
vo_retrans_ratio_p95,1.000000
vo_retrans_ratio_p99,1.000000
vo_retrans_ratio_p99_9,1.000000
pedca_selections,47
pedca_cts_attempts,19
pedca_successes,18
pedca_failures,109
pedca_resets,6
pedca_eligibility_checks,58
pedca_max_trigger_count,10
vo_mac_tx_data_failed,61821
vo_mac_tx_final_data_failed,351
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,0.324035
vo_mac_tx_final_data_failed_rate,0.001840
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,1.791000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,484.489000
vo_channel_access_delay_p99_ms,491.426000
vo_channel_access_delay_p99_9_ms,492.701000
vo_queue_delay_p50_ms,7.303000
vo_queue_delay_p90_ms,15.515000
vo_queue_delay_p95_ms,15.515000
vo_queue_delay_p99_ms,16.929000
vo_queue_delay_p99_9_ms,16.929000
vo_queue_depth_mean_packets,0.002019
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
