value_ms,cdf
1.000000,0.059030
2.000000,0.966423
3.000000,0.968048
4.000000,0.969415
5.000000,0.970421
6.000000,0.971401
7.000000,0.972381
8.000000,0.973309
9.000000,0.974031
10.000000,0.974753
11.000000,0.975191
12.000000,0.975707
13.000000,0.975991
14.000000,0.976429
15.000000,0.976765
16.000000,0.977203
17.000000,0.977899
18.000000,0.978157
19.000000,0.978518
20.000000,0.978673
21.000000,0.979111
22.000000,0.979421
23.000000,0.979653
24.000000,0.979937
25.000000,0.980401
26.000000,0.980710
27.000000,0.980942
28.000000,0.981149
29.000000,0.981432
30.000000,0.981561
31.000000,0.981768
32.000000,0.982232
33.000000,0.982464
34.000000,0.982644
35.000000,0.982954
36.000000,0.983109
37.000000,0.983237
38.000000,0.983418
39.000000,0.983753
40.000000,0.983934
41.000000,0.984063
42.000000,0.984166
43.000000,0.984269
44.000000,0.984578
45.000000,0.984940
46.000000,0.985094
47.000000,0.985197
48.000000,0.985249
49.000000,0.985430
50.000000,0.985687
51.000000,0.985842
52.000000,0.986152
53.000000,0.986358
54.000000,0.986409
55.000000,0.986487
56.000000,0.986642
57.000000,0.986848
58.000000,0.987054
59.000000,0.987209
60.000000,0.987312
61.000000,0.987467
62.000000,0.987673
63.000000,0.987750
64.000000,0.987879
65.000000,0.987957
66.000000,0.988112
67.000000,0.988240
68.000000,0.988344
69.000000,0.988498
70.000000,0.988601
71.000000,0.988730
72.000000,0.988859
73.000000,0.989014
74.000000,0.989091
75.000000,0.989143
76.000000,0.989272
77.000000,0.989324
78.000000,0.989401
79.000000,0.989478
80.000000,0.989556
81.000000,0.989736
82.000000,0.989788
83.000000,0.989891
84.000000,0.989968
85.000000,0.990071
86.000000,0.990200
87.000000,0.990252
88.000000,0.990381
89.000000,0.990458
90.000000,0.990536
91.000000,0.990613
92.000000,0.990716
93.000000,0.990845
94.000000,0.990948
95.000000,0.991155
96.000000,0.991232
97.000000,0.991283
98.000000,0.991387
99.000000,0.991412
100.000000,0.991593
101.000000,0.991722
102.000000,0.991773
103.000000,0.991928
104.000000,0.991980
105.000000,0.992006
106.000000,0.992083
107.000000,0.992109
110.000000,0.992135
