value_ms,cdf
7.122966,0.016129
32.607155,0.032258
77.346810,0.048387
96.205754,0.064516
96.504638,0.080645
196.606362,0.096774
256.849259,0.112903
265.604651,0.129032
286.621168,0.145161
303.233603,0.161290
459.891767,0.177419
472.746249,0.193548
499.109914,0.209677
534.448052,0.225806
610.364926,0.241935
687.478754,0.258065
862.865030,0.274194
934.477513,0.290323
1010.121190,0.306452
1544.258685,0.322581
1667.314306,0.338710
1818.199719,0.354839
1837.503707,0.370968
2194.031857,0.387097
2686.978547,0.403226
2786.507857,0.419355
2833.449362,0.435484
2872.336375,0.451613
2968.570064,0.467742
2988.791719,0.483871
3166.923199,0.500000
3243.452431,0.516129
3283.592995,0.532258
3305.321444,0.548387
3397.744845,0.564516
3423.351249,0.580645
3440.032224,0.596774
3525.158892,0.612903
3541.137179,0.629032
3581.921213,0.645161
3650.850375,0.661290
3655.595810,0.677419
3695.285961,0.693548
3818.522086,0.709677
3862.570926,0.725806
3871.652961,0.741935
3879.594478,0.758065
3937.240444,0.774194
3953.010224,0.790323
4116.658615,0.806452
4164.677190,0.822581
4331.751064,0.838710
4368.829030,0.854839
4434.038293,0.870968
4472.970099,0.887097
4483.015099,0.903226
4536.995259,0.919355
4571.733328,0.935484
4631.373616,0.951613
4723.207810,0.967742
4736.025628,0.983871
4903.992168,1.000000
