value_ms,cdf
1.000000,0.063012
2.000000,0.074112
3.000000,0.082118
4.000000,0.088097
5.000000,0.093738
6.000000,0.098599
7.000000,0.102524
8.000000,0.106969
9.000000,0.110661
10.000000,0.114040
11.000000,0.117783
12.000000,0.121007
13.000000,0.124438
14.000000,0.127843
15.000000,0.131145
16.000000,0.134394
17.000000,0.137461
18.000000,0.140659
19.000000,0.143804
20.000000,0.147053
21.000000,0.150147
22.000000,0.153240
23.000000,0.156126
24.000000,0.159349
25.000000,0.162442
26.000000,0.165380
27.000000,0.168369
28.000000,0.171255
29.000000,0.174270
30.000000,0.177286
31.000000,0.180041
32.000000,0.183264
33.000000,0.185968
34.000000,0.188775
35.000000,0.191739
36.000000,0.194182
37.000000,0.197146
38.000000,0.199745
39.000000,0.202293
40.000000,0.205256
41.000000,0.207570
42.000000,0.210143
43.000000,0.212821
44.000000,0.215108
45.000000,0.217760
46.000000,0.219891
47.000000,0.222309
48.000000,0.224700
49.000000,0.226936
50.000000,0.229405
51.000000,0.231459
52.000000,0.233825
53.000000,0.236112
54.000000,0.238062
55.000000,0.240505
56.000000,0.242533
57.000000,0.244561
58.000000,0.246926
59.000000,0.249110
60.000000,0.251371
61.000000,0.253269
62.000000,0.255348
63.000000,0.257350
64.000000,0.259352
65.000000,0.261509
66.000000,0.263225
67.000000,0.265149
68.000000,0.266942
69.000000,0.268736
70.000000,0.270711
71.000000,0.272401
72.000000,0.274507
73.000000,0.276274
74.000000,0.277990
75.000000,0.280070
76.000000,0.281707
77.000000,0.283475
78.000000,0.285529
79.000000,0.286984
80.000000,0.288960
81.000000,0.290806
82.000000,0.292469
83.000000,0.294315
84.000000,0.295849
85.000000,0.297564
86.000000,0.299228
87.000000,0.300684
88.000000,0.302555
89.000000,0.304115
90.000000,0.305857
91.000000,0.307520
92.000000,0.309132
93.000000,0.310770
94.000000,0.312277
95.000000,0.313889
96.000000,0.315501
97.000000,0.317138
98.000000,0.318828
99.000000,0.320232
100.000000,0.321766
101.000000,0.323325
102.000000,0.324833
103.000000,0.326523
104.000000,0.327874
105.000000,0.329434
106.000000,0.331150
107.000000,0.332398
108.000000,0.333957
109.000000,0.335283
110.000000,0.336635
111.000000,0.338246
112.000000,0.339520
113.000000,0.340976
114.000000,0.342198
115.000000,0.343705
116.000000,0.345109
117.000000,0.346149
118.000000,0.347605
119.000000,0.348878
120.000000,0.350100
