value_ms,cdf
2833.449362,0.038462
2988.791719,0.076923
3166.923199,0.115385
3243.452431,0.153846
3423.351249,0.192308
3525.158892,0.230769
3541.137179,0.269231
3581.921213,0.307692
3650.850375,0.346154
3695.285961,0.384615
3818.522086,0.423077
3862.570926,0.461538
3879.594478,0.500000
3937.240444,0.538462
3953.010224,0.576923
4116.658615,0.615385
4164.677190,0.653846
4331.751064,0.692308
4368.829030,0.730769
4472.970099,0.769231
4536.995259,0.807692
4571.733328,0.846154
4631.373616,0.884615
4723.207810,0.923077
4736.025628,0.961538
4903.992168,1.000000
