value_ms,cdf
1.000000,0.061264
2.000000,0.969942
3.000000,0.971640
4.000000,0.973102
5.000000,0.974330
6.000000,0.975296
7.000000,0.976419
8.000000,0.976967
9.000000,0.977385
10.000000,0.977777
11.000000,0.978377
12.000000,0.978743
13.000000,0.979108
14.000000,0.979631
15.000000,0.979892
16.000000,0.980205
17.000000,0.980440
18.000000,0.980701
19.000000,0.980963
20.000000,0.981198
21.000000,0.981563
22.000000,0.981824
23.000000,0.982085
24.000000,0.982425
25.000000,0.982556
26.000000,0.982843
27.000000,0.983026
28.000000,0.983313
29.000000,0.983652
30.000000,0.983835
31.000000,0.983914
32.000000,0.984201
33.000000,0.984357
34.000000,0.984462
35.000000,0.984697
36.000000,0.984906
37.000000,0.985115
38.000000,0.985245
39.000000,0.985428
40.000000,0.985533
41.000000,0.985715
42.000000,0.985846
43.000000,0.985977
44.000000,0.986264
45.000000,0.986499
46.000000,0.986734
47.000000,0.986969
48.000000,0.987099
49.000000,0.987230
50.000000,0.987334
51.000000,0.987543
52.000000,0.987752
53.000000,0.987909
54.000000,0.988092
55.000000,0.988170
56.000000,0.988405
57.000000,0.988484
58.000000,0.988562
59.000000,0.988719
60.000000,0.988823
61.000000,0.988927
62.000000,0.989110
63.000000,0.989215
64.000000,0.989293
65.000000,0.989371
66.000000,0.989502
67.000000,0.989528
68.000000,0.989633
69.000000,0.989711
70.000000,0.989789
71.000000,0.989868
72.000000,0.989972
73.000000,0.990050
74.000000,0.990103
75.000000,0.990155
76.000000,0.990259
77.000000,0.990338
78.000000,0.990442
79.000000,0.990494
80.000000,0.990573
81.000000,0.990677
82.000000,0.990938
83.000000,0.991017
84.000000,0.991199
85.000000,0.991330
86.000000,0.991434
88.000000,0.991565
89.000000,0.991643
90.000000,0.991774
91.000000,0.991878
92.000000,0.992009
93.000000,0.992166
94.000000,0.992218
95.000000,0.992322
96.000000,0.992401
97.000000,0.992453
98.000000,0.992479
99.000000,0.992531
100.000000,0.992688
101.000000,0.992714
102.000000,0.992819
103.000000,0.992923
104.000000,0.993001
105.000000,0.993054
106.000000,0.993132
107.000000,0.993210
108.000000,0.993236
109.000000,0.993262
110.000000,0.993315
111.000000,0.993445
112.000000,0.993471
113.000000,0.993550
114.000000,0.993576
115.000000,0.993654
116.000000,0.993706
117.000000,0.993785
118.000000,0.993863
119.000000,0.993915
120.000000,0.993994
121.000000,0.994020
122.000000,0.994072
123.000000,0.994124
124.000000,0.994229
125.000000,0.994307
126.000000,0.994333
127.000000,0.994359
128.000000,0.994438
130.000000,0.994490
131.000000,0.994542
132.000000,0.994568
133.000000,0.994594
134.000000,0.994699
135.000000,0.994751
136.000000,0.994777
137.000000,0.994803
138.000000,0.994855
139.000000,0.994882
140.000000,0.994986
141.000000,0.995038
142.000000,0.995064
143.000000,0.995117
144.000000,0.995195
146.000000,0.995221
147.000000,0.995247
148.000000,0.995299
149.000000,0.995326
150.000000,0.995456
151.000000,0.995534
152.000000,0.995613
154.000000,0.995639
155.000000,0.995691
156.000000,0.995743
157.000000,0.995796
158.000000,0.995874
159.000000,0.995926
160.000000,0.995978
161.000000,0.996031
162.000000,0.996083
164.000000,0.996135
165.000000,0.996187
167.000000,0.996240
168.000000,0.996266
170.000000,0.996318
171.000000,0.996422
172.000000,0.996448
173.000000,0.996527
175.000000,0.996605
178.000000,0.996631
179.000000,0.996657
180.000000,0.996683
181.000000,0.996710
182.000000,0.996736
183.000000,0.996762
184.000000,0.996788
185.000000,0.996814
186.000000,0.996840
188.000000,0.996892
189.000000,0.996918
190.000000,0.996945
191.000000,0.996971
194.000000,0.996997
195.000000,0.997075
199.000000,0.997101
200.000000,0.997154
202.000000,0.997206
203.000000,0.997232
205.000000,0.997258
207.000000,0.997310
208.000000,0.997362
211.000000,0.997389
212.000000,0.997441
214.000000,0.997467
215.000000,0.997493
217.000000,0.997519
219.000000,0.997571
220.000000,0.997624
222.000000,0.997676
224.000000,0.997728
226.000000,0.997780
227.000000,0.997806
228.000000,0.997885
229.000000,0.997937
230.000000,0.997963
232.000000,0.997989
233.000000,0.998041
237.000000,0.998068
238.000000,0.998094
239.000000,0.998120
240.000000,0.998146
242.000000,0.998172
246.000000,0.998198
248.000000,0.998250
250.000000,0.998276
252.000000,0.998303
257.000000,0.998329
260.000000,0.998355
263.000000,0.998381
271.000000,0.998407
276.000000,0.998433
277.000000,0.998459
278.000000,0.998485
281.000000,0.998511
285.000000,0.998538
288.000000,0.998564
291.000000,0.998642
299.000000,0.998694
307.000000,0.998720
318.000000,0.998773
320.000000,0.998799
324.000000,0.998825
325.000000,0.998851
327.000000,0.998877
328.000000,0.998903
329.000000,0.998929
332.000000,0.998955
333.000000,0.998982
335.000000,0.999008
348.000000,0.999034
349.000000,0.999060
352.000000,0.999086
354.000000,0.999112
355.000000,0.999138
357.000000,0.999164
358.000000,0.999217
359.000000,0.999243
365.000000,0.999269
369.000000,0.999295
371.000000,0.999321
383.000000,0.999347
384.000000,0.999373
403.000000,0.999399
404.000000,0.999425
405.000000,0.999452
417.000000,0.999478
426.000000,0.999504
439.000000,0.999530
443.000000,0.999556
447.000000,0.999582
449.000000,0.999608
458.000000,0.999634
470.000000,0.999661
479.000000,0.999687
499.000000,0.999713
504.000000,0.999739
509.000000,0.999765
511.000000,0.999791
512.000000,0.999817
547.000000,0.999843
552.000000,0.999869
580.000000,0.999896
600.000000,0.999922
652.000000,0.999948
686.000000,0.999974
752.000000,1.000000
